Country,Region,Electricity_generated_kW,Education_expenditure_percent_GDP,Energy_consumption_per_capita_BtuPerPerson,Reserves_of_foreign_exchange_dollars
CHINA,East and Southeast Asia,2949000000.0,3.6,113805000.0,3265000000000.0
UNITED STATES,North America,1235000000.0,6.1,278474000.0,227760000000.0
INDIA,South Asia,499136000.0,4.5,25179000.0,569544000000.0
JAPAN,East and Southeast Asia,361617000.0,3.4,129504000.0,1160000000000.0
RUSSIA,Central Asia,301926000.0,3.7,224858000.0,597217000000.0
GERMANY,Europe,275658000.0,4.7,120457000.0,96792000000.0
BRAZIL,South America,240251000.0,6.0,48889000.0,318857000000.0
CANADA,North America,161988000.0,5.2,311599000.0,117551000000.0
FRANCE,Europe,151463000.0,5.5,123526000.0,78429000000.0
"KOREA, SOUTH",East and Southeast Asia,151139000.0,4.7,234668000.0,409457000000.0
SPAIN,Europe,130366000.0,4.6,101120000.0,84154000000.0
ITALY,Europe,128692000.0,4.3,96797000.0,84875000000.0
SAUDI ARABIA,Middle East,119620000.0,7.8,349692000.0,436769000000.0
UNITED KINGDOM,Europe,114749000.0,5.5,94280000.0,148569000000.0
AUSTRALIA,Australia and Oceania,108193000.0,6.1,223158000.0,54455000000.0
TURKEY (TURKIYE),Middle East,106281000.0,3.4,70521000.0,90859000000.0
MEXICO,North America,105586000.0,4.3,57539000.0,221944000000.0
IRAN,Middle East,86058000.0,3.6,160779000.0,120600000000.0
VIETNAM,East and Southeast Asia,85725000.0,4.1,40263000.0,92238000000.0
INDONESIA,East and Southeast Asia,70826000.0,3.5,37390000.0,149118000000.0
SOUTH AFRICA,Africa,65989000.0,6.6,86197000.0,54912000000.0
POLAND,Europe,64806000.0,5.2,103651000.0,185515000000.0
UKRAINE,Europe,60297000.0,5.4,57856000.0,41485000000.0
NETHERLANDS,Europe,59982000.0,5.3,185536000.0,27753000000.0
EGYPT,Africa,59680000.0,2.5,34975000.0,34278000000.0
THAILAND,East and Southeast Asia,55971000.0,3.2,80602000.0,217261000000.0
SWEDEN,Europe,55307000.0,7.2,142102000.0,52023000000.0
ARGENTINA,South America,47631000.0,5.0,78496000.0,24381000000.0
UNITED ARAB EMIRATES,Middle East,44462000.0,3.9,450432000.0,231690000000.0
PAKISTAN,South Asia,43512000.0,2.4,14076000.0,12977000000.0
NORWAY,Europe,41100000.0,5.9,206961000.0,81242000000.0
CHILE,South America,39238000.0,5.6,71420000.0,44382000000.0
MALAYSIA,East and Southeast Asia,37220000.0,3.9,113163000.0,112968000000.0
